City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
331,Conceicao Do Araguaia,BR,-8.2578,-49.2647,82.2,34,59,3.09
332,Shache,CN,38.4167,77.2406,61.09,33,100,3.91
333,Cruzeiro Do Sul,BR,-29.5128,-51.9853,64.53,80,100,1.34
334,Naryan-Mar,RU,67.6713,53.087,43.45,95,100,9.24
335,Pervomayskiy,RU,53.2485,40.2871,43.92,91,99,9.75
336,Kalabo,ZM,-14.97,22.6814,70.72,22,17,8.12
337,Mareeba,AU,-17.0,145.4333,83.44,69,67,9.17
338,Husavik,IS,66.0449,-17.3389,36.14,98,100,25.12
339,Sidrolandia,BR,-20.9319,-54.9614,78.01,59,53,9.24
340,Eyl,SO,7.9803,49.8164,76.48,81,30,12.41
341,Khorramabad,IR,33.4878,48.3558,66.24,18,0,5.64
342,Pyaozerskiy,RU,65.8333,31.1667,44.85,92,100,12.82
343,Quatre Cocos,MU,-20.2078,57.7625,71.71,80,30,15.12
344,Goderich,CA,43.7501,-81.7165,59.92,64,100,7.43
345,Kalawit,PH,8.0667,122.5167,85.55,73,95,4.65
346,Talnakh,RU,69.4865,88.3972,31.21,95,100,3.98
347,Saint-Louis,SN,16.3333,-15.0,83.37,65,13,11.83
348,Mujiayingzi,CN,42.1167,118.7833,46.65,19,100,2.8
349,Chipinge,ZW,-20.1883,32.6236,61.09,64,0,4.07
350,La Macarena,CO,2.1837,-73.7849,74.84,90,53,2.91
351,Chateaubelair,VC,13.2833,-61.25,78.51,82,100,19.28
352,Vermilion,US,40.1667,-87.7506,68.92,27,100,6.71
353,Kalmunai,LK,7.4167,81.8167,80.17,73,100,3.18
354,Gulu,UG,2.7746,32.299,62.29,95,44,0.74
355,Nancha,CN,47.1333,129.2667,46.51,26,0,7.58
356,Poplar Bluff,US,36.757,-90.3929,61.34,68,0,0.0
357,Zdvinsk,RU,54.7021,78.661,45.82,94,100,2.8
358,Moses Lake,US,47.1301,-119.2781,75.56,33,0,3.44
359,Hasaki,JP,35.7333,140.8333,61.29,83,100,26.31
360,College,US,64.8569,-147.8028,47.59,71,40,0.0
361,Sambava,MG,-14.2667,50.1667,67.91,88,2,10.13
362,Roma,US,43.2128,-75.4557,54.73,81,0,3.44
363,Labrea,BR,-7.2586,-64.7981,82.29,50,21,2.42
364,Jablah,SY,35.3614,35.9256,64.69,82,0,6.91
365,Maceio,BR,-9.6658,-35.7353,72.84,100,40,1.14
366,Rockhampton,AU,-23.3833,150.5,76.89,53,75,9.22
367,Ardakan,IR,32.31,54.0175,69.78,19,0,2.66
368,Cerrito,CO,6.8432,-72.694,52.18,94,85,0.58
369,Kortkeros,RU,61.8106,51.5806,44.6,96,100,5.06
370,Rio Gallegos,AR,-51.6226,-69.2181,44.65,57,0,9.22
371,Vigrestad,NO,58.5667,5.7,52.59,75,100,19.39
372,Kloulklubed,PW,7.0419,134.2556,86.5,72,14,9.04
373,Katima Mulilo,NA,-17.5,24.2667,75.85,22,0,9.6
374,Key West,US,24.5557,-81.7826,84.2,69,0,5.75
375,Alakurtti,RU,66.9672,30.3491,43.41,93,100,11.68
376,Tukrah,LY,32.5341,20.5791,71.04,63,0,13.8
377,Borinskoye,RU,52.4569,39.3713,44.35,92,96,9.69
378,Solok,ID,-0.7918,100.6593,74.35,75,83,1.07
379,Auki,SB,-8.7676,160.7034,86.22,57,88,3.62
380,Riyadh,SA,24.6877,46.7219,73.54,16,0,1.97
381,Illapel,CL,-31.6308,-71.1653,51.78,92,56,2.13
382,Ostrovnoy,RU,68.0531,39.5131,46.02,82,88,17.58
383,Zaysan,KZ,47.4667,84.8667,46.89,19,4,2.66
384,Channagiri,IN,14.0333,75.9333,69.4,93,100,9.33
385,Manaskent,RU,42.7275,47.6785,61.97,77,62,6.71
386,Alekseyevsk,RU,57.8406,108.3492,33.13,54,94,5.35
387,Plouzane,FR,48.3833,-4.6167,53.65,97,0,5.75
388,Bara,NG,10.3744,10.7288,74.52,83,81,1.59
389,Svetlyy,RU,54.675,20.1347,51.85,82,3,16.22
390,Half Moon Bay,US,37.4636,-122.4286,75.54,83,100,14.97
391,Port Maria,JM,18.3685,-76.8895,82.36,95,23,3.29
392,Somoto,NI,13.4808,-86.5821,69.13,92,100,2.93
393,Srednekolymsk,RU,67.45,153.6833,23.07,93,100,25.99
394,Stromness,GB,58.965,-3.296,51.87,79,76,23.0
395,Concordia,AR,-31.393,-58.0209,61.0,78,82,6.78
396,Tromso,NO,69.6496,18.957,44.38,87,100,2.3
397,Den Helder,NL,52.9599,4.7593,57.18,70,75,21.85
398,Yenagoa,NG,4.9247,6.2642,74.46,95,88,3.98
399,Northam,GB,51.0333,-4.2167,55.62,74,0,15.84
400,Bonavista,CA,48.6499,-53.1147,53.17,78,100,10.83
401,Itaituba,BR,-4.2761,-55.9836,81.61,52,51,2.59
402,Dicamay,PH,16.7561,122.0037,84.31,71,100,4.12
403,Eureka,US,40.8021,-124.1637,59.61,83,46,1.99
404,Lompoc,US,34.6391,-120.4579,73.54,93,100,6.91
405,Svetlaya,RU,46.5389,138.3297,47.7,30,17,12.06
406,Kapuskasing,CA,49.4169,-82.4331,51.89,93,100,12.66
